200321,175904,,clo,svr:0 conn:1 do-not-save
200321,175907,,clo,svr:0 conn:1 do-not-save
200321,175909,,clo,svr:0 conn:1 do-not-save
200321,175913,,clo,svr:0 conn:1 do-not-save
200321,175915,,clo,svr:0 conn:1 do-not-save
200321,175917,,clo,svr:0 conn:1 do-not-save
200321,175917,,clo,svr:0 conn:2 do-not-save
200321,175919,,clo,svr:0 conn:1 do-not-save
200321,175921,,clo,svr:0 conn:1 do-not-save
200321,175922,,clo,svr:0 conn:1 do-not-save
200321,175924,,clo,svr:0 conn:1 do-not-save
200321,175925,,clo,svr:0 conn:1 do-not-save
200321,175925,,clo,svr:0 conn:1 do-not-save
200321,175926,,clo,svr:0 conn:1 do-not-save
200321,175928,,clo,svr:0 conn:1 do-not-save
200321,175928,,clo,svr:0 conn:1 do-not-save
200321,175933,,clo,svr:0 conn:1 do-not-save
200321,175935,,clo,svr:0 conn:1 do-not-save
200321,175935,,clo,svr:0 conn:1 do-not-save
200321,175941,,clo,svr:0 conn:1 do-not-save
200321,175943,,clo,svr:0 conn:1 do-not-save
200321,175946,,clo,svr:0 conn:1 do-not-save
200321,175950,,clo,svr:0 conn:1 do-not-save
200321,175953,,clo,svr:0 conn:1 do-not-save
200321,175956,,clo,svr:0 conn:1 do-not-save
200321,175957,,clo,svr:0 conn:1 do-not-save
200321,180001,,clo,svr:0 conn:1 do-not-save
200321,180004,,clo,svr:0 conn:1 do-not-save
200321,180006,,clo,svr:0 conn:1 do-not-save
200321,180009,,clo,svr:0 conn:1 do-not-save
200321,180013,,clo,svr:0 conn:1 do-not-save
200321,180013,,clo,svr:0 conn:2 do-not-save
200321,180013,,clo,svr:0 conn:1 do-not-save
200321,180014,,clo,svr:0 conn:1 do-not-save
200321,180016,,clo,svr:0 conn:1 do-not-save
200321,180017,,clo,svr:0 conn:1 do-not-save
200321,180017,,clo,svr:0 conn:2 do-not-save
200321,180019,,clo,svr:0 conn:1 do-not-save
200321,180021,,clo,svr:0 conn:1 do-not-save
200321,180023,,clo,svr:0 conn:2 do-not-save
200321,180024,,clo,svr:0 conn:2 do-not-save
200321,180025,,clo,svr:0 conn:1 do-not-save
200321,180025,,clo,svr:0 conn:2 do-not-save
200321,180025,,clo,svr:0 conn:1 do-not-save
200321,180026,,clo,svr:0 conn:1 do-not-save
200321,180028,,clo,svr:0 conn:1 do-not-save
200321,180029,,clo,svr:0 conn:1 do-not-save
200321,180033,,clo,svr:0 conn:1 do-not-save
200321,180033,,clo,svr:0 conn:1 do-not-save
200321,180034,,clo,svr:0 conn:1 do-not-save
200321,180036,,clo,svr:0 conn:1 do-not-save
200321,180037,,clo,svr:0 conn:1 do-not-save
200321,180038,,clo,svr:0 conn:1 do-not-save
200321,180039,,clo,svr:0 conn:1 do-not-save
200321,180040,,clo,svr:0 conn:1 do-not-save
200321,180044,,clo,svr:0 conn:1 do-not-save
200321,180047,,clo,svr:0 conn:1 do-not-save
200321,180047,,clo,svr:0 conn:1 do-not-save
200321,180049,,clo,svr:0 conn:1 do-not-save
200321,180049,,clo,svr:0 conn:1 do-not-save
200321,180050,,clo,svr:0 conn:1 do-not-save
200321,180052,,clo,svr:0 conn:1 do-not-save
200321,180054,,clo,svr:0 conn:1 do-not-save
200321,180054,,clo,svr:0 conn:1 do-not-save
200321,180056,,clo,svr:0 conn:1 do-not-save
200321,180058,,clo,svr:0 conn:1 do-not-save
200321,180100,,clo,svr:0 conn:1 do-not-save
200321,180100,,clo,svr:0 conn:2 do-not-save
200321,180101,,clo,svr:0 conn:1 do-not-save
200321,180101,,clo,svr:0 conn:1 do-not-save
200321,180101,,clo,svr:0 conn:1 do-not-save
200321,180102,,clo,svr:0 conn:1 do-not-save
200321,180103,,clo,svr:0 conn:1 do-not-save
200321,180104,,clo,svr:0 conn:1 do-not-save
200321,180105,,clo,svr:0 conn:1 do-not-save
200321,180105,,clo,svr:0 conn:1 do-not-save
200321,180106,,clo,svr:0 conn:1 do-not-save
200321,180107,,clo,svr:0 conn:1 do-not-save
200321,180108,,clo,svr:0 conn:1 do-not-save
200321,180109,,clo,svr:0 conn:1 do-not-save
200321,180109,,clo,svr:0 conn:1 do-not-save
200321,180110,,clo,svr:0 conn:1 do-not-save
200321,180111,,clo,svr:0 conn:1 do-not-save
200321,180111,,clo,svr:0 conn:2 do-not-save
200321,180112,,clo,svr:0 conn:1 do-not-save
200321,180112,,clo,svr:0 conn:1 do-not-save
200321,180114,,clo,svr:0 conn:1 do-not-save
200321,180116,,clo,svr:0 conn:1 do-not-save
200321,180116,,clo,svr:0 conn:2 do-not-save
200321,180120,,clo,svr:0 conn:1 do-not-save
200321,180120,,clo,svr:0 conn:2 do-not-save
200321,180122,,clo,svr:0 conn:1 do-not-save
200321,180124,,clo,svr:0 conn:1 do-not-save
200321,180125,,clo,svr:0 conn:1 do-not-save
200321,180131,,clo,svr:0 conn:2 do-not-save
200321,180131,,clo,svr:0 conn:1 do-not-save
200321,180132,,clo,svr:0 conn:1 do-not-save
200321,180133,,clo,svr:0 conn:1 do-not-save
200321,180134,,clo,svr:0 conn:1 do-not-save
200321,180137,,clo,svr:0 conn:1 do-not-save
200321,180139,,clo,svr:0 conn:1 do-not-save
200321,180139,,clo,svr:0 conn:2 do-not-save
200321,180142,,clo,svr:0 conn:1 do-not-save
200321,180142,,clo,svr:0 conn:1 do-not-save
200321,180144,,clo,svr:0 conn:1 do-not-save
200321,180146,,clo,svr:0 conn:1 do-not-save
200321,180149,,clo,svr:0 conn:1 do-not-save
200321,180156,,clo,svr:0 conn:1 do-not-save
200321,180159,,clo,svr:0 conn:1 do-not-save
200321,180202,,clo,svr:0 conn:1 do-not-save
200321,180202,,clo,svr:0 conn:2 do-not-save
200321,180203,,clo,svr:0 conn:1 do-not-save
200321,180208,,clo,svr:0 conn:1 do-not-save
200321,180213,,clo,svr:0 conn:1 do-not-save
200321,180214,,clo,svr:0 conn:1 do-not-save
200321,180214,,clo,svr:0 conn:1 do-not-save
200321,180214,,clo,svr:0 conn:2 do-not-save
200321,180216,,clo,svr:0 conn:1 do-not-save
200321,180218,,clo,svr:0 conn:1 do-not-save
200321,180219,,clo,svr:0 conn:1 do-not-save
200321,180220,,clo,svr:0 conn:1 do-not-save
200321,180223,,clo,svr:0 conn:1 do-not-save
200321,180223,,clo,svr:0 conn:2 do-not-save
200321,180225,,clo,svr:0 conn:1 do-not-save
200321,180226,,clo,svr:0 conn:2 do-not-save
200321,180226,,clo,svr:0 conn:1 do-not-save
200321,180227,,clo,svr:0 conn:1 do-not-save
200321,180230,,clo,svr:0 conn:1 do-not-save
200321,180231,,clo,svr:0 conn:1 do-not-save
200321,180234,,clo,svr:0 conn:1 do-not-save
200321,180236,,clo,svr:0 conn:1 do-not-save
200321,180236,,clo,svr:0 conn:2 do-not-save
200321,180238,,clo,svr:0 conn:1 do-not-save
200321,180242,,clo,svr:0 conn:1 do-not-save
200321,180244,,clo,svr:0 conn:1 do-not-save
200321,180246,,clo,svr:0 conn:1 do-not-save
200321,180247,,clo,svr:0 conn:1 do-not-save
200321,180249,,clo,svr:0 conn:1 do-not-save
200321,180249,,clo,svr:0 conn:1 do-not-save
200321,180252,,clo,svr:0 conn:1 do-not-save
200321,180252,,clo,svr:0 conn:2 do-not-save
200321,180255,,clo,svr:0 conn:1 do-not-save
200321,180255,,clo,svr:0 conn:1 do-not-save
200321,180257,,clo,svr:0 conn:1 do-not-save
200321,180302,,clo,svr:0 conn:1 do-not-save
200321,180308,,clo,svr:0 conn:1 do-not-save
200321,180313,,clo,svr:0 conn:1 do-not-save
200321,180314,,clo,svr:0 conn:1 do-not-save
200321,180316,,clo,svr:0 conn:1 do-not-save
200321,180317,,clo,svr:0 conn:1 do-not-save
200321,180320,,clo,svr:0 conn:1 do-not-save
200321,180321,,clo,svr:0 conn:1 do-not-save
200321,180323,,clo,svr:0 conn:1 do-not-save
200321,180328,,clo,svr:0 conn:1 do-not-save
200321,180330,,clo,svr:0 conn:1 do-not-save
200321,180332,,clo,svr:0 conn:1 do-not-save
200321,180335,,clo,svr:0 conn:1 do-not-save
200321,180338,,clo,svr:0 conn:1 do-not-save
200321,180341,,clo,svr:0 conn:1 do-not-save
200321,180344,,clo,svr:0 conn:1 do-not-save
200321,180350,,clo,svr:0 conn:1 do-not-save
200321,180350,,clo,svr:0 conn:1 do-not-save
200321,180351,,clo,svr:0 conn:1 do-not-save
200321,180351,,clo,svr:0 conn:2 do-not-save
200321,180352,,clo,svr:0 conn:1 do-not-save
200321,180352,,clo,svr:0 conn:1 do-not-save
200321,180353,,clo,svr:0 conn:1 do-not-save
200321,180355,,clo,svr:0 conn:1 do-not-save
200321,180358,,clo,svr:0 conn:1 do-not-save
200321,180402,,clo,svr:0 conn:1 do-not-save
200321,180402,,clo,svr:0 conn:1 do-not-save
200321,180402,,clo,svr:0 conn:1 do-not-save
200321,180410,,clo,svr:0 conn:1 do-not-save
200321,180412,,clo,svr:0 conn:1 do-not-save
200321,180414,,clo,svr:0 conn:1 do-not-save
200321,180421,,clo,svr:0 conn:1 do-not-save
200321,180423,,clo,svr:0 conn:1 do-not-save
200321,180426,,clo,svr:0 conn:1 do-not-save
200321,180429,,clo,svr:0 conn:1 do-not-save
200321,180432,,clo,svr:0 conn:1 do-not-save
200321,180437,,clo,svr:0 conn:1 do-not-save
200321,180441,,clo,svr:0 conn:1 do-not-save
200321,180447,,clo,svr:0 conn:1 do-not-save
200321,180450,,clo,svr:0 conn:1 do-not-save
200321,180455,,clo,svr:0 conn:1 do-not-save
200321,180500,,clo,svr:0 conn:1 do-not-save
200321,180501,,clo,svr:0 conn:1 do-not-save
200321,180504,,clo,svr:0 conn:1 do-not-save
200321,180507,,clo,svr:0 conn:1 do-not-save
200321,180510,,clo,svr:0 conn:1 do-not-save
200321,180515,,clo,svr:0 conn:1 do-not-save
200321,180524,,clo,svr:0 conn:1 do-not-save
200321,180525,,clo,svr:0 conn:1 do-not-save
200321,180531,,clo,svr:0 conn:1 do-not-save
200321,180533,,clo,svr:0 conn:1 do-not-save
200321,180533,,clo,svr:0 conn:2 do-not-save
200321,180535,,clo,svr:0 conn:1 do-not-save
200321,180539,,clo,svr:0 conn:1 do-not-save
200321,180542,,clo,svr:0 conn:1 do-not-save
200321,180546,,clo,svr:0 conn:1 do-not-save
200321,180553,,clo,svr:0 conn:1 do-not-save
200321,180553,,clo,svr:0 conn:2 do-not-save
200321,180554,,clo,svr:0 conn:1 do-not-save
200321,180556,,clo,svr:0 conn:1 do-not-save
200321,180607,,clo,svr:0 conn:1 do-not-save
200321,180610,,clo,svr:0 conn:1 do-not-save
200321,180615,,clo,svr:0 conn:1 do-not-save
200321,180618,,clo,svr:0 conn:1 do-not-save
200321,180620,,clo,svr:0 conn:1 do-not-save
200321,180624,,clo,svr:0 conn:1 do-not-save
200321,180633,,clo,svr:0 conn:1 do-not-save
200321,180633,,clo,svr:0 conn:2 do-not-save
200321,180634,,clo,svr:0 conn:1 do-not-save
200321,180635,,clo,svr:0 conn:1 do-not-save
200321,180638,,clo,svr:0 conn:1 do-not-save
200321,180642,,clo,svr:0 conn:1 do-not-save
200321,180642,,clo,svr:0 conn:1 do-not-save
200321,180647,,clo,svr:0 conn:1 do-not-save
200321,180651,,clo,svr:0 conn:1 do-not-save
200321,180654,,clo,svr:0 conn:1 do-not-save
200321,180655,,clo,svr:0 conn:1 do-not-save
200321,180659,,clo,svr:0 conn:1 do-not-save
200321,180703,,clo,svr:0 conn:1 do-not-save
200321,180705,,clo,svr:0 conn:1 do-not-save
200321,180710,,clo,svr:0 conn:1 do-not-save
200321,180710,,clo,svr:0 conn:1 do-not-save
200321,180711,,clo,svr:0 conn:1 do-not-save
200321,180714,,clo,svr:0 conn:1 do-not-save
200321,180715,,clo,svr:0 conn:1 do-not-save
200321,180716,,clo,svr:0 conn:1 do-not-save
